Cepheid	logP	F555W	sigma555W	F814W	sigma814W	F160W	sigma160W	${m}_{H}^{W}$	sigma	[Fe/H]	pi_R16	sigma_piR16	pi_EDR3	sigma_piEDR3	
WX-PUP	0.951	9.1909	0.030	7.944	0.012	6.807	0.010	6.368	0.016	-0.010	0.376	0.011	0.387	0.017	
WZ-SGR	1.339	8.2021	0.012	6.481	0.013	4.858	0.009	4.242	0.011	0.280	0.547	0.015	0.612	0.031	
X-CYG	1.214	6.5295	0.020	5.230	0.049	4.080	0.033	3.629	0.039	0.160	0.883	0.029	0.910	0.022	
X-PUP	1.414	8.6949	0.019	7.128	0.010	5.628	0.008	5.069	0.012	0.020	0.341	0.010	0.397	0.022	
XX-CAR	1.196	9.4627	0.027	8.067	0.015	6.833	0.022	6.337	0.025	0.010	0.264	0.008	0.305	0.016	
XY-CAR	1.095	9.4660	0.011	7.927	0.009	6.455	0.006	5.904	0.008	0.012	0.375	0.010	0.390	0.015	
XZ-CAR	1.221	8.7725	0.017	7.217	0.006	5.770	0.007	5.215	0.010	0.026	0.425	0.012	0.473	0.020	
YZ-CAR	1.259	8.8644	0.016	7.401	0.007	5.991	0.013	5.471	0.015	-0.030	0.359	0.010	0.358	0.020	
YZ-SGR	0.980	7.4662	0.021	6.176	0.014	5.103	0.020	4.653	0.022	0.120	0.786	0.023	0.860	0.027	
Z-LAC	1.037	8.5686	0.022	7.157	0.015	5.917	0.018	5.417	0.021	0.070	0.509	0.015	0.510	0.023	
AG-CRU	0.584	8.3175	0.013	7.307	0.011	6.414	0.027	6.068	0.028	0.020	0.748	0.023	0.758	0.022	
AP-PUP	0.706	7.4560	0.016	6.412	0.014	5.534	0.027	5.177	0.028	-0.020	0.941	0.029	0.924	0.022	
AP-SGR	0.704	7.1056	0.028	6.036	0.013	5.094	0.027	4.729	0.030	0.160	1.145	0.035	1.217	0.026	
BF-OPH	0.609	7.5091	0.018	6.347	0.010	5.374	0.027	4.972	0.028	0.110	1.184	0.036	1.189	0.026	
BG-VEL	0.840	7.7827	0.010	6.299	0.009	5.054	0.019	4.529	0.020	0.040	1.033	0.030	1.045	0.019	
ER-CAR	0.888	6.9095	0.011	5.916	0.012	5.078	0.027	4.742	0.028	0.120	0.867	0.026	0.869	0.016	
R-CRU	0.765	6.8479	0.017	5.856	0.016	4.984	0.027	4.649	0.028	0.100	1.088	0.033	1.078	0.031	
R-MUS	0.876	6.4568	0.009	5.447	0.008	4.609	0.019	4.268	0.020	-0.110	1.117	0.033	1.076	0.019	
R-TRA	0.530	6.7236	0.013	5.794	0.014	5.025	0.019	4.714	0.020	0.160	1.497	0.044	1.560	0.018	
RV-SCO	0.783	7.1616	0.010	5.871	0.007	4.773	0.019	4.323	0.020	0.080	1.234	0.036	1.257	0.023	
RY-CMA	0.670	8.2358	0.015	7.111	0.013	6.045	0.027	5.656	0.028	0.140	0.787	0.024	0.825	0.032	
S-CRU^h	0.671	6.6700	0.050	5.698	0.011	4.843	0.027	4.516	0.033	0.080	1.335	0.042	1.342	0.026	
S-TRA	0.801	6.5171	0.013	5.553	0.012	4.752	0.027	4.429	0.028	0.010	1.150	0.035	1.120	0.024	
SS-SCT	0.565	8.3122	0.010	7.073	0.005	6.034	0.019	5.600	0.019	0.110	0.948	0.028	0.934	0.025	
T-VEL	0.667	8.1205	0.009	6.915	0.007	5.839	0.019	5.419	0.020	-0.160	0.904	0.026	0.940	0.018	
TX-CYG	1.168	9.6108	0.024	7.083	0.015	4.789	0.027	3.862	0.029	0.260	0.844	0.026	0.829	0.020	
U-SGR	0.829	6.8864	0.018	5.388	0.011	4.143	0.027	3.615	0.028	0.140	1.588	0.049	1.605	0.025	
V-CAR	0.826	7.4753	0.009	6.403	0.008	5.463	0.019	5.096	0.020	0.080	0.810	0.024	0.797	0.015	
V-VEL	0.641	7.5198	0.013	6.555	0.010	5.693	0.027	5.366	0.028	0	0.951	0.029	0.953	0.019	
V0386-CYG	0.721	9.8126	0.015	7.748	0.014	5.944	0.027	5.192	0.028	0.170	0.901	0.028	0.894	0.014	
V0482-SCO	0.656	8.0697	0.013	6.773	0.013	5.697	0.027	5.242	0.028	0.019	0.982	0.030	0.993	0.028	
V0636-SCO	0.832	6.8167	0.009	5.618	0.008	4.568	0.020	4.154	0.021	0.070	1.239	0.036	1.180	0.037	
W-GEM	0.898	7.0841	0.057	5.899	0.018	4.863	0.027	4.454	0.036	-0.010	0.984	0.032	1.006	0.031	
